productora,revenue,nro_peliculas
Golden Way Films Ltd.,28843140.0,13
Vía Digital,111369260.0,13
This Is That Productions,230353398.0,13
Cinema Service,45463539.0,13
Nippon Television Network (NTV),491930264.0,13
Beacon Communications,935666634.0,13
Illumination Entertainment,5731765911.0,13
Wega Film,65844753.0,13
Gracie Films,1460828360.0,13
Lemming Film,17245302.0,13
GMM Tai Hub (GTH),0.0,13
The Kushner-Locke Company,0.0,13
Villealfa Filmproduction Oy,0.0,13
Hessischer Rundfunk (HR),2898736.0,13
Solar Productions,189659870.0,13
Castelao Producciones,146309968.0,13
Sixteen Films,32789379.0,13
Ecosse Films,176689440.0,13
Les Films Marceau,752045.0,13
Marvista Entertainment,252.0,13
Canana Films,2341226.0,13
Shapiro-Glickenhaus Entertainment,313222.0,13
Mandalay Pictures,574384270.0,13
QED International,858023190.0,13
Bad Robot,5277789758.0,13
LD Entertainment,279340874.0,13
Moving Picture Company (MPC),5202780715.0,13
Red Hour Films,970699924.0,13
Helsinki Filmi Oy,0.0,13
ApolloMedia Distribution,73288315.0,13
Odessa Film Studios,0.0,13
Matador Pictures,26348460.0,13
GK Films,2234350276.0,13
Hyde Park Entertainment,341569136.0,13
3B Productions,112481.0,13
Nouvelles Éditions de Films (NEF),264454807.0,13
Radical Media,188508924.0,13
Renaissance Pictures,254114760.0,13
Steamroller Productions,46044400.0,13
Goldcrest Pictures,1317270363.0,13
Vanguard Films,86748202.0,13
Tiger Aspect Productions,590949014.0,13
CiBy 2000,140439225.0,13
Dark Horse Entertainment,1311772407.0,13
Filmlance International AB,56299.0,13
PalmStar Media,184765748.0,13
Cinerenta Medienbeteiligungs KG,139374220.0,13
Zenith Entertainment,4287192.0,13
Filmirage,1198346.0,13
Televisió de Catalunya (TV3),286410839.0,13
Spring Creek Productions,791827867.0,13
Serendipity Point Films,68409984.0,13
JVC Entertainment Networks,274440520.0,13
DreamWorks Pictures,982104018.0,13
Sunswept Entertainment,4365935726.0,13
Walt Disney Television,0.0,13
Silver Reel,169835288.0,13
Brooksfilms,212565338.0,13
Bron Studios,17662022.0,13
Walt Disney Studios Home Entertainment,28430000.0,13
Telefilm Canada,748453.0,13
Aardman Animations,659785073.0,13
